caseid,totalnewsbinary,totalnewscount,totalnewsfncount2016def,totalvisits,totalProTrumpFNbinary_ag80,totalProClintonFNbinary_ag80,totalProTrumpFNcount_ag80,totalProClintonFNcount_ag80,totalFakeNewsbinary,totalFakeNewscount,mfb,diet_mean,count,weight,decile,totalnewsfncount2018def,totalProRepFNbinary,totalProDemFNbinary,totalProRepFNcount,totalProDemFNcount,totalfakebinary18,totalfakecount18
393693320,1,72,72,13471,0,0,0,0,0,0,0.017593348674931335,0.1052421875,13471,1.40868825381763,10,72,0,0,0,0,0,0
394299087,1,2508,2508,7669,0,0,0,0,0,0,0.06741426522362759,-0.0746627508208683,7669,0.243591318263317,3,2508,0,0,0,0,0,0
394327978,1,151,151,3431,0,0,0,0,0,0,0.025648498979889245,-0.22106531531531531,3431,0.542678464799283,1,151,0,0,0,0,0,0
394528433,1,7,7,1954,0,0,0,0,0,0,0,0.06230777777777778,1954,0.368062392283773,9,7,0,0,0,0,0,0
394535691,0,0,0,1198,0,0,0,0,0,0,0.164440734557596,0.041926315789473687,1198,0.791409745371195,8,0,0,0,0,0,0,0
394548112,1,53,53,11113,0,0,0,0,0,0,0.07369747142985693,-0.18645974025974027,11113,0.454858391443745,1,53,0,0,0,0,0,0
394583481,1,158,158,21664,0,0,0,0,0,0,0.027695716395864108,-0.0022209794837855707,21664,0.940282699009632,5,158,0,0,0,0,0,0
394607617,0,0,0,236,0,0,0,0,0,0,0,0.0362,236,0.623170687579443,7,0,0,0,0,0,0,0
394620815,1,77,77,14142,0,0,0,0,0,0,0.09241974261066327,-0.20766494178525227,14142,1.17971475891672,1,77,0,0,0,0,0,0
394626574,1,1738,1738,7253,0,0,0,0,0,0,0.002895353646766855,-0.06671142993782879,7253,0.585178521634958,3,1738,0,0,0,0,0,0
394675859,1,432,432,5427,0,0,0,0,0,0,0.695411829740188,-0.07982988764044945,5427,0.605938414069357,3,432,0,0,0,0,0,0
394682130,1,125,125,9890,0,0,0,0,0,0,0.08624873609706775,-0.25202,9890,0.33565760971359,1,125,0,0,0,0,0,0
394752564,1,291,291,18366,0,0,0,0,0,0,0.008820646847435479,0.030466237482117308,18366,1.34542622822711,7,293,1,0,2,0,1,2
394761076,0,0,0,3,0,0,0,0,0,0,0,NaN,3,1.29947715553678,NA,0,0,0,0,0,0,0
394761158,1,174,174,8572,0,0,0,0,0,0,0.07069528698086794,-0.0657992125984252,8572,0.432635155786468,3,174,0,0,0,0,0,0
394764809,1,4,4,6989,0,0,0,0,0,0,0.09328945485763343,-0.046049999999999994,6989,0.977862598676394,4,4,0,0,0,0,0,0
394766030,0,0,0,18,0,0,0,0,0,0,0.16666666666666666,NaN,18,0.248263989331844,NA,0,0,0,0,0,0,0
394767658,1,7,7,5549,0,0,0,0,0,0,0.009190845197332853,-0.007371428571428575,5549,0.255696640256599,5,7,0,0,0,0,0,0
394767686,1,58,58,8794,0,0,0,0,0,0,0.07869001591994541,-0.015325471698113205,8794,0.319766734334857,5,58,0,0,0,0,0,0
394768072,0,0,0,3978,0,0,0,0,0,0,0.0010055304172951233,0.0362,3978,0.667086778443481,7,0,0,0,0,0,0,0
394768498,1,68,68,7038,0,0,0,0,0,0,0.06351236146632566,0.04357916666666667,7038,0.495268536851974,8,68,0,0,0,0,0,0
394769226,1,4,4,159,0,0,0,0,0,0,0,-0.5393,159,2.49126842933454,1,4,0,0,0,0,0,0
394772788,0,0,0,1353,0,0,0,0,0,0,0.011825572801182557,0.0362,1353,0.707859625353596,7,0,0,0,0,0,0,0
394773029,1,207,207,7878,0,0,0,0,0,0,2.538715410002539e-4,-0.058767175572519086,7878,0.319766734334857,3,207,0,0,0,0,0,0
394773567,1,320,323,5328,1,0,3,0,1,3,0.015765765765765764,0.3629205217391304,5328,0.688152691932638,10,1469,1,0,1149,0,1,1149
394774106,1,177,177,6860,0,0,0,0,0,0,0.07478134110787173,0.050717391304347825,6860,0.77230468600563,9,177,0,0,0,0,0,0
394774785,1,2873,2873,32712,0,0,0,0,0,0,0.008987527512839327,-0.10559803921568628,32712,0.912140562458959,2,2873,0,0,0,0,0,0
394775698,1,1,1,1273,0,0,0,0,0,0,0.006284367635506678,0.044641509433962265,1273,0.455433711535195,8,1,0,0,0,0,0,0
394775803,0,0,0,1744,0,0,0,0,0,0,0.08314220183486239,NaN,1744,0.857408453996949,NA,0,0,0,0,0,0,0
394776659,0,0,0,6,0,0,0,0,0,0,0,NaN,6,0.630842937574215,NA,0,0,0,0,0,0,0
394776667,1,43,43,1117,0,0,0,0,0,0,0.008057296329453895,-0.01621527777777778,1117,0.375122719819658,4,43,0,0,0,0,0,0
394776687,1,425,425,10205,0,0,0,0,0,0,3.9196472317491423e-4,-0.4349178498985801,10205,0.526429626979151,1,425,0,0,0,0,0,0
394778123,1,442,442,5510,0,0,0,0,0,0,0.046823956442831216,-0.07414575892857143,5510,2.0329164427252,3,442,0,0,0,0,0,0
394778125,1,13,13,6189,0,0,0,0,0,0,0.0067862336403296175,0.039637241379310344,6189,0.687283392933406,8,13,0,0,0,0,0,0
394780037,1,5,5,4202,0,0,0,0,0,0,0.01761066158971918,-0.11645714285714286,4202,0.804544930307739,2,5,0,0,0,0,0,0
394780539,1,452,453,13115,1,0,1,0,1,1,0.12489515821578345,-0.020840070298769775,13115,0.386353330581485,4,454,1,0,2,0,1,2
394780792,1,3,3,3214,0,0,0,0,0,0,0,0.035072782410917366,3214,0.769991904081051,7,3,0,0,0,0,0,0
394780921,0,0,0,5310,0,0,0,0,0,0,0,0.0634,5310,0.970253359277728,9,0,0,0,0,0,0,0
394784033,0,0,0,44,0,0,0,0,0,0,0,NaN,44,0.687283392933406,NA,0,0,0,0,0,0,0
394786035,0,0,0,8794,0,0,0,0,0,0,0.001364566750056857,0.0362,8794,0.475272763382521,7,0,0,0,0,0,0,0
394786037,1,18,18,4307,0,0,0,0,0,0,0.16020431855119574,0.002745121951219514,4307,0.791655965449055,5,18,0,0,0,0,0,0
394786045,1,21,21,2030,0,0,0,0,0,0,0.033497536945812804,-0.04184857142857143,2030,0.654531284196335,4,21,0,0,0,0,0,0
394786049,1,76,76,11390,0,0,0,0,0,0,0.0810359964881475,-0.05370778210116731,11390,0.200491482665035,4,76,0,0,0,0,0,0
394787835,1,40,40,6575,0,0,0,0,0,0,0.0038022813688212928,-0.00564881516587678,6575,1.00725530899921,5,40,0,0,0,0,0,0
394788245,1,176,176,22106,0,0,0,0,0,0,1.3570976205555052e-4,-0.10193166666666667,22106,0.276202079990069,2,176,0,0,0,0,0,0
394788387,1,420,420,2647,0,0,0,0,0,0,0,-0.002534895833333334,2647,1.37665828987806,5,420,0,0,0,0,0,0
394789312,1,7,7,16137,0,0,0,0,0,0,0.09227241742579166,0.03461864801864802,16137,0.386353330581485,7,8,1,0,1,0,1,1
394790214,1,3764,3764,30117,0,0,0,0,0,0,0.06996048743234719,-0.06842765007810757,30117,0.248263989331844,3,3764,0,0,0,0,0,0
394792025,0,0,0,75,0,0,0,0,0,0,0,NaN,75,0.238231423736973,NA,0,0,0,0,0,0,0
394792148,1,192,192,5260,0,0,0,0,0,0,0.012927756653992395,0.01749890350877193,5260,6.03822166051524,6,192,0,0,0,0,0,0
394792246,1,468,479,5049,1,0,11,0,1,11,0.07625272331154684,0.411211714770798,5049,0.386353330581485,10,479,1,0,11,0,1,11
394792317,1,99,99,444,0,0,0,0,0,0,0.06531531531531531,0.6594603960396039,444,0.795426328230431,10,99,0,0,0,0,0,0
394793093,1,75,75,18830,0,0,0,0,0,0,0.1248008497079129,-0.08940424528301887,18830,0.432635155786468,2,75,0,0,0,0,0,0
394794106,1,11,11,13227,0,0,0,0,0,0,0.02237846828456944,0.028352486187845305,13227,0.386353330581485,7,11,0,0,0,0,0,0
394794208,1,3084,3084,22154,0,0,0,0,0,0,4.5138575426559545e-5,-0.20035900336288595,22154,0.805149113259025,1,3084,0,0,0,0,0,0
394794213,1,2682,2682,13163,0,0,0,0,0,0,0.18339284357669225,-0.41167339039821366,13163,0.511127245024275,1,2683,1,0,1,0,1,1
394796045,1,115,155,7241,1,0,40,0,1,40,0.2926391382405745,0.2508327485380117,7241,0.368062392283773,10,162,1,0,47,0,1,47
394796144,1,19,19,5521,0,0,0,0,0,0,0.18909617822858177,-0.04371904761904762,5521,1.34542622822711,4,19,0,0,0,0,0,0
394796523,1,682,682,8032,0,0,0,0,0,0,0,-0.056641842105263164,8032,0.243591318263317,3,682,0,0,0,0,0,0
394796798,1,63,63,4102,0,0,0,0,0,0,0.09726962457337884,-0.23569514563106797,4102,0.455433711535195,1,63,0,0,0,0,0,0
394797951,1,29,29,8637,0,0,0,0,0,0,0.029524140326502257,-0.06252142857142858,8637,0.584439303276601,3,29,0,0,0,0,0,0
394799565,0,0,0,11292,0,0,0,0,0,0,0.04321643641516117,-0.06867173913043478,11292,0.325626629645862,3,0,0,0,0,0,0,0
394799639,1,94,94,15872,0,0,0,0,0,0,0.2048891129032258,-0.0528421052631579,15872,0.243591318263317,4,94,0,0,0,0,0,0
394799923,0,0,0,323,0,0,0,0,0,0,0,NaN,323,3.08129580025255,NA,0,0,0,0,0,0,0
394799944,1,3,3,3314,0,0,0,0,0,0,0.014182257091128546,0.028628915662650606,3314,0.327778980725371,7,3,0,0,0,0,0,0
394800775,1,13,13,128,0,0,0,0,0,0,0,0.0563,128,0.769991904081051,9,13,0,0,0,0,0,0
394801471,1,274,274,7261,0,0,0,0,0,0,8.263324610935133e-4,-0.18268026030368767,7261,0.236866232008178,1,274,0,0,0,0,0,0
394803416,1,9,9,6758,0,0,0,0,0,0,0.028558745190884877,0.09051979166666667,6758,0.386353330581485,10,9,0,0,0,0,0,0
394803459,1,227,227,33571,0,0,0,0,0,0,0.6680170385153853,0.030337724550898202,33571,0.455433711535195,7,227,0,0,0,0,0,0
394803476,1,860,860,13534,0,0,0,0,0,0,0.042116151913698836,-0.10542188160676533,13534,0.33565760971359,2,860,0,0,0,0,0,0
394804707,1,1044,1072,16891,0,1,0,28,1,28,0.09294890770232668,-0.18815231187669992,16891,0.427058614391729,1,1072,0,1,0,28,1,28
394804808,1,12,12,1671,0,0,0,0,0,0,0,0.02372727272727273,1671,0.33565760971359,6,12,0,0,0,0,0,0
394806812,0,0,0,707,0,0,0,0,0,0,0,NaN,707,0.417336705756512,NA,0,0,0,0,0,0,0
394811206,0,0,0,1,0,0,0,0,0,0,0,NaN,1,0.248263989331844,NA,0,0,0,0,0,0,0
394817068,1,129,129,1419,0,0,0,0,0,0,0.026074700493305146,-0.11619457547169812,1419,1.53798969439275,2,129,0,0,0,0,0,0
394817745,1,2,2,1640,0,0,0,0,0,0,0.06463414634146342,0.03685487603305786,1640,3.16953740420391,8,2,0,0,0,0,0,0
394820022,1,39,39,4779,0,0,0,0,0,0,6.277463904582548e-4,0.13635448717948717,4779,0.654531284196335,10,39,0,0,0,0,0,0
394822460,1,79,79,6531,0,0,0,0,0,0,0.012861736334405145,-0.027818258426966294,6531,0.815103364375807,4,79,0,0,0,0,0,0
394827679,1,44,44,6408,0,0,0,0,0,0,0,0.04418275462962963,6408,2.63498533987775,8,45,1,0,1,0,1,1
394832934,0,0,0,311,0,0,0,0,0,0,0,NaN,311,0.815356955912952,NA,0,0,0,0,0,0,0
394847269,0,0,0,204,0,0,0,0,0,0,0,0.0362,204,0.511127245024275,7,0,0,0,0,0,0,0
394847331,1,88,88,1715,0,0,0,0,0,0,0.2664723032069971,-0.012818181818181819,1715,0.795426328230431,5,88,0,0,0,0,0,0
394848661,1,30,30,2791,0,0,0,0,0,0,0.1121461841633823,-0.2209139240506329,2791,0.526429626979151,1,30,0,0,0,0,0,0
394850850,1,2478,2478,8766,0,0,0,0,0,0,0.0013689253935660506,0.6393195637355147,8766,0.386353330581485,10,2479,1,0,1,0,1,1
394855751,1,341,342,20743,1,0,1,0,1,1,0.5873788748011377,-0.0365875,20743,3.76426477125392,4,346,1,0,5,0,1,5
394855983,1,1565,1565,28148,0,0,0,0,0,0,0.07638198095779451,-0.06979221044045678,28148,0.654531284196335,3,1565,0,0,0,0,0,0
394859583,1,467,487,8121,1,0,20,0,1,20,0.021672207856175348,0.2931397260273973,8121,0.368062392283773,10,510,1,0,43,0,1,43
394863187,1,531,584,41672,1,0,53,0,1,53,0.05084949126511806,0.3211131263232181,41672,0.688152691932638,10,556,1,0,25,0,1,25
394872266,1,25,25,1183,0,0,0,0,0,0,0.03127641589180051,0.05877301587301587,1183,0.622531132615305,9,25,0,0,0,0,0,0
394877167,1,425,425,19639,0,0,0,0,0,0,9.674627017668924e-4,-0.12080811455847255,19639,0.526429626979151,2,425,0,0,0,0,0,0
394880741,0,0,0,135,0,0,0,0,0,0,0.08148148148148149,NaN,135,0.677599692566029,NA,0,0,0,0,0,0,0
394883680,1,112,112,11550,0,0,0,0,0,0,0.011861471861471861,-0.0702566037735849,11550,1.34542622822711,3,112,0,0,0,0,0,0
394891091,0,0,0,5,0,0,0,0,0,0,0,NaN,5,0.421337575800721,NA,0,0,0,0,0,0,0
394893272,1,491,491,9004,0,0,0,0,0,0,1.1106175033318525e-4,-0.07453522504892368,9004,0.468476168443526,3,491,0,0,0,0,0,0
394893273,1,1014,1014,20692,0,0,0,0,0,0,0.2416876087376764,-0.3254138670478913,20692,0.319766734334857,1,1014,0,0,0,0,0,0
394893274,1,428,428,9298,0,0,0,0,0,0,0.14852656485265647,-0.03551991614255766,9298,5.17099424364109,4,428,0,0,0,0,0,0
394893275,1,2528,2528,14272,0,0,0,0,0,0,0.1108464125560538,-0.07167191805015896,14272,0.526429626979151,3,2528,0,0,0,0,0,0
394896312,1,37,37,162,0,0,0,0,0,0,0.006172839506172839,-0.084,162,2.63641859292518,3,37,0,0,0,0,0,0
394896315,1,36,36,7853,0,0,0,0,0,0,0.29695657710429135,-0.118525,7853,0.33565760971359,2,36,0,0,0,0,0,0
394896316,1,53,55,9496,1,0,2,0,1,2,0.04981044650379107,0.017802391304347825,9496,0.707859625353596,6,55,1,0,2,0,1,2
394899692,1,90,90,17690,0,0,0,0,0,0,0.06359525155455059,0.009462032556093267,17690,0.791409745371195,5,90,0,0,0,0,0,0
394899784,1,1354,1354,11714,0,0,0,0,0,0,0.002219566330886119,0.0015412768299394612,11714,0.319766734334857,5,1354,0,0,0,0,0,0
394902769,1,2405,2405,23716,0,0,0,0,0,0,1.2649687974363298e-4,-0.20902630541871922,23716,0.375122719819658,1,2405,0,0,0,0,0,0
394902771,1,1650,1650,47339,0,0,0,0,0,0,0.12264728870487336,0.011996832914015092,47339,2.65301169242473,5,1650,0,0,0,0,0,0
394902772,1,85,85,13221,0,0,0,0,0,0,1.5127448755767337e-4,-0.04903020833333334,13221,0.523934322760354,4,85,0,0,0,0,0,0
394903698,1,125,125,3021,0,0,0,0,0,0,0,-0.50809453125,3021,0.585178521634958,1,125,0,0,0,0,0,0
394903958,1,254,254,2145,0,0,0,0,0,0,0.016783216783216783,-0.04535783475783476,2145,0.243591318263317,4,254,0,0,0,0,0,0
394905936,1,1222,1222,15741,0,0,0,0,0,0,0.048662727908010926,-0.2711184142394822,15741,0.276202079990069,1,1222,0,0,0,0,0,0
394905937,1,5,5,4039,0,0,0,0,0,0,0.24436741767764297,-0.010596000000000001,4039,2.32387660718707,5,5,0,0,0,0,0,0
394905939,1,1,1,51,0,0,0,0,0,0,0,-0.2145,51,0.417336705756512,1,1,0,0,0,0,0,0
394905940,1,322,326,1866,1,0,4,0,1,4,0.04983922829581994,0.05107189349112425,1866,0.667086778443481,9,326,1,0,4,0,1,4
394905947,1,659,665,11025,1,0,6,0,1,6,0.35410430839002266,0.07396256800870511,11025,0.386353330581485,10,670,1,0,11,0,1,11
394906132,1,63,63,7324,0,0,0,0,0,0,4.0961223375204805e-4,0.05835835567470956,7324,7.11560901154199,9,63,0,0,0,0,0,0
394909081,1,152,152,3683,0,0,0,0,0,0,0.15042085256584306,9.084967320261426e-4,3683,0.795426328230431,5,152,0,0,0,0,0,0
394909086,0,0,0,6872,0,0,0,0,0,0,0.19921420256111758,0.05339540229885058,6872,0.382611719808975,9,0,0,0,0,0,0,0
394912602,1,6,6,11776,0,0,0,0,0,0,0.002122961956521739,0.024895270270270272,11776,1.00725530899921,6,6,0,0,0,0,0,0
394912934,1,4,4,1122,0,0,0,0,0,0,0.10427807486631016,-0.0239,1122,0.243591318263317,4,4,0,0,0,0,0,0
394916556,1,6,6,5792,0,0,0,0,0,0,0.11101519337016574,-0.26627142857142855,5792,0.432635155786468,1,6,0,0,0,0,0,0
394916560,1,8,18,2460,1,0,10,0,1,10,0,-0.084,2460,0.375122719819658,3,19,1,0,11,0,1,11
394916561,1,1060,1060,5760,0,0,0,0,0,0,0.009027777777777779,-0.10959595176571921,5760,3.84121030681011,2,1060,0,0,0,0,0,0
394920234,1,961,961,3847,0,0,0,0,0,0,0.09669872628021835,0.7593025588536335,3847,3.62043334292897,10,961,0,0,0,0,0,0
394920287,1,27,27,8302,0,0,0,0,0,0,0.04649482052517466,0.018511255411255412,8302,0.831633236207102,6,27,0,0,0,0,0,0
394920290,1,145,145,9237,0,0,0,0,0,0,0.04752625311248241,-0.06989601593625498,9237,0.325900634257302,3,145,0,0,0,0,0,0
394923864,1,4,4,3553,0,0,0,0,0,0,0.0481283422459893,-0.21225555555555556,3553,0.44093414521714003,1,4,0,0,0,0,0,0
394926795,1,1,1,15546,0,0,0,0,0,0,0.08111411295510099,0.01735019127773527,15546,1.96943760071141,6,1,0,0,0,0,0,0
394926985,1,932,932,14692,0,0,0,0,0,0,8.167710318540703e-4,-0.00515039761431412,14692,1.63778680873949,5,932,0,0,0,0,0,0
394927393,1,3,3,96,0,0,0,0,0,0,0,0.06085254237288135,96,3.75950961787465,9,3,0,0,0,0,0,0
394927394,1,1179,1179,23600,0,0,0,0,0,0,0.2945762711864407,-0.1728352908277405,23600,0.255696640256599,2,1179,0,0,0,0,0,0
394927399,1,20,20,5956,0,0,0,0,0,0,0.10241773002014776,0.020975135135135138,5956,0.843410660494714,6,20,0,0,0,0,0,0
394927400,0,0,0,1934,0,0,0,0,0,0,0,0.0362,1934,0.454858391443745,7,0,0,0,0,0,0,0
394928245,0,0,0,1417,0,0,0,0,0,0,0,0.0634,1417,2.91716702293247,9,0,0,0,0,0,0,0
394932331,1,1005,1005,3860,0,0,0,0,0,0,0,-0.03548933236574745,3860,0.368062392283773,4,1005,0,0,0,0,0,0
394932336,1,5,5,1900,0,0,0,0,0,0,0.002631578947368421,0.021821299638989173,1900,0.526429626979151,6,5,0,0,0,0,0,0
394932340,1,2382,2429,18964,1,0,47,0,1,47,0.02299093018350559,0.14341003419057527,18964,0.688152691932638,10,2477,1,0,95,0,1,95
394932344,1,573,573,24793,0,0,0,0,0,0,0.10942604767474691,-0.14403264573991031,24793,1.53798969439275,2,573,0,0,0,0,0,0
394935225,0,0,0,1204,0,0,0,0,0,0,0.07890365448504984,0.0362,1204,0.426814094423777,7,0,0,0,0,0,0,0
394936584,1,443,443,5551,0,0,0,0,0,0,0,0.004134379263301497,5551,0.585178521634958,5,443,0,0,0,0,0,0
394936702,1,32,32,3821,0,0,0,0,0,0,0,0.03243953974895397,3821,1.19580683841588,7,32,0,0,0,0,0,0
394936705,1,11,11,1262,0,0,0,0,0,0,0,0.5911,1262,0.795426328230431,10,11,0,0,0,0,0,0
394936708,0,0,0,1631,0,0,0,0,0,0,0.04966278356836297,0.0362,1631,0.454858391443745,7,0,0,0,0,0,0,0
394936711,1,7,7,1826,0,0,0,0,0,0,0.19167579408543264,-0.12128571428571429,1826,0.386353330581485,2,7,0,0,0,0,0,0
394939761,1,3,3,7142,0,0,0,0,0,0,0.4915989918790255,0.03790140186915888,7142,0.455433711535195,8,3,0,0,0,0,0,0
394940025,0,0,0,2,0,0,0,0,0,0,0,NaN,2,0.468476168443526,NA,0,0,0,0,0,0,0
394940360,1,377,377,21866,0,0,0,0,0,0,0.12018659105460532,-0.05210147329650092,21866,0.687283392933406,4,377,0,0,0,0,0,0
394940427,0,0,0,3758,0,0,0,0,0,0,0.0689196381053752,0.06333122629582806,3758,1.17971475891672,9,0,0,0,0,0,0,0
394940735,1,38,38,1640,0,0,0,0,0,0,6.097560975609756e-4,0.06440845070422535,1640,1.29420409095819,10,39,0,1,0,1,1,1
394944885,1,469,469,1524,0,0,0,0,0,0,0.013779527559055118,0.7350049504950494,1524,0.483162167072113,10,469,0,0,0,0,0,0
