caseid,totalnewsbinary,totalnewscount,totalnewsfncount2016def,totalvisits,totalProTrumpFNbinary_ag80,totalProClintonFNbinary_ag80,totalProTrumpFNcount_ag80,totalProClintonFNcount_ag80,totalFakeNewsbinary,totalFakeNewscount,mfb,diet_mean,weight,decile,totalnewsfncount2018def,totalProRepFNbinary,totalProDemFNbinary,totalProRepFNcount,totalProDemFNcount,totalfakebinary18,totalfakecount18
407142771,1,56,56,4675,0,0,0,0,0,0,0.0453475935828877,0.28501507936507936,0.773258643811547,10,45,0,0,0,0,0,0
409732021,1,11,11,6350,0,0,0,0,0,0,0.1310442589384155,0.02998237704918033,5.2075724999081,6,9,0,0,0,0,0,0
412354747,1,20,20,2581,0,0,0,0,0,0,0.02479659046881054,0.04693454545454545,1.02274128996431,8,12,0,0,0,0,0,0
413487251,0,0,0,272,0,0,0,0,0,0,0,0.03736571428571429,0.646122494196527,7,0,0,0,0,0,0,0
414153147,0,0,0,553,0,0,0,0,0,0,0.0433996383363472,0.038142857142857145,1.36489860245426,7,0,0,0,0,0,0,0
414154222,1,13,13,865,0,0,0,0,0,0,0.0023148148148148147,0.046985185185185185,0.922738430222328,8,10,0,0,0,0,0,0
414367741,1,2,2,172,0,0,0,0,0,0,0,0.029061538461538465,0.962562217831999,6,0,0,0,0,0,0,0
414451707,1,154,154,1864,0,0,0,0,0,0,0.008047210300429184,-0.323453305785124,0.652959408945108,1,89,0,0,0,0,0,0
414492832,1,8,8,380,0,0,0,0,0,0,0.005263157894736842,0.5223800000000001,0.522540179336023,10,8,0,0,0,0,0,0
414492876,1,574,574,8286,0,0,0,0,0,0,0.12539222785421192,0.7159975083056478,1.51769316478057,10,414,0,0,0,0,0,0
414509019,1,2,2,418,0,0,0,0,0,0,0,-0.04182,3.6706702205714,4,2,0,0,0,0,0,0
414524678,1,35,35,2835,0,0,0,0,0,0,0.07689594356261023,-0.018234482758620694,0.653059471407918,4,30,0,0,0,0,0,0
414650837,0,0,0,24,0,0,0,0,0,0,0,NaN,0.510046349388695,NA,0,0,0,0,0,0,0
414659989,1,43,43,38142,0,0,0,0,0,0,0.034292905458549634,0.05713962089690245,0.659780778720765,9,24,0,0,0,0,0,0
414664022,1,4,4,6018,0,0,0,0,0,0,0.07471647765176785,0.04638705035971223,1.05828066830525,8,0,0,0,0,0,0,0
414717366,1,20,20,5237,0,0,0,0,0,0,0.0036280313156387242,0.00128842105263158,0.720423403641761,5,6,0,0,0,0,0,0
414742697,1,12,12,16784,0,0,0,0,0,0,0.09723546234509056,0.021502861445783134,0.903140690568511,6,3,0,0,0,0,0,0
414782140,1,201,201,8398,0,0,0,0,0,0,0.09193759676074789,-0.21925236051502145,0.603321598519808,1,91,0,0,0,0,0,0
415071034,1,21,21,52459,0,0,0,0,0,0,0.1650398444351241,-0.10541269035532995,1.10974109895543,3,6,0,0,0,0,0,0
415135136,1,64,64,24157,0,0,0,0,0,0,0.014985304466614233,0.31179473684210524,1.16773935103842,10,16,0,0,0,0,0,0
415148362,1,12,12,6602,0,0,0,0,0,0,0.08739775825507422,0.08432698412698413,0.330368839767455,9,10,0,0,0,0,0,0
415153983,1,3,3,654,0,0,0,0,0,0,0.3103975535168196,-0.1432,0.831497824537858,2,3,0,0,0,0,0,0
