totalfakebinary18_presurvey,pol_therm_media,pol_therm_media_w2,massmedia_trust,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight
NA,33,40,2,2,61,63,1,3,1,2,1,1,0,0.767664718
NA,41,NA,4,NA,34,NA,1,3,1,1,1,1,0,0.987857546
NA,70,NA,2,NA,-35,NA,0,7,2,4,1,1,0,0.964969637
NA,42,NA,3,NA,50,NA,1,4,2,4,1,1,0,0.80266102
NA,14,46,2,2,95,41,1,1,1,0,1,1,0,1.439093602
NA,NA,NA,4,NA,99,NA,1,2,2,0,3,1,0,0.5775969
NA,50,NA,3,NA,71,NA,1,4,1,30,4,0,0,1.067444486
NA,36,23,2,2,51,78,0,6,4,61,2,0,1,1.074571751
0,0,0,1,1,70,86,0,7,1,95,2,0,0,0.925217391
1,2,2,2,2,90,89,0,7,5,71,3,0,0,0.864147231
0,66,72,3,3,76,64,1,3,2,0,2,0,1,0.83118332
0,36,68,3,2,-3,-18,0,4,2,71,3,1,0,0.634009324
0,69,59,3,3,27,30,1,4,3,5,2,1,0,1.258169987
0,72,NA,3,NA,39,NA,1,4,5,4,4,0,1,0.844511932
1,31,13,2,2,56,54,0,6,4,62,4,0,1,0.575553862
0,20,20,2,2,72,89,0,7,4,100,4,0,0,0.901789007
0,10,20,2,1,60,56,0,6,5,85,4,0,1,0.99719565
0,82,74,3,3,93,86,1,2,5,0,4,0,1,0.862565331
0,88,91,4,4,54,73,1,3,5,4,4,0,1,0.971557222
0,64,62,3,3,25,47,1,3,3,19,4,1,0,0.947004739
0,89,72,3,3,-18,11,0,4,1,20,3,0,1,0.878871349
NA,35,54,2,3,3,-3,1,4,1,14,1,0,1,0.869902116
NA,NA,NA,2,3,NA,NA,NA,4,2,NA,2,1,0,1.685699624
NA,20,16,2,1,95,60,0,6,5,90,4,0,1,0.808827312
0,70,77,3,3,85,77,1,1,5,0,3,0,0,0.756263673
0,88,90,3,3,0,100,1,1,5,0,4,1,0,0.731882883
0,72,48,3,3,42,39,0,4,5,71,4,0,1,0.808827312
0,56,70,3,3,57,70,1,1,5,0,3,0,1,0.547869497
0,88,89,4,4,83,81,1,4,3,0,4,0,0,0.730333528
0,6,3,2,2,10,19,0,6,4,46,4,0,1,1.016821451
0,93,NA,3,NA,68,NA,1,1,5,0,3,0,1,0.878880886
0,70,81,2,3,85,80,1,1,5,0,4,0,1,0.80254565
0,4,2,1,1,67,58,0,6,5,91,4,0,0,0.901789007
0,61,72,4,3,20,40,1,4,5,2,2,1,0,0.843905912
NA,95,91,3,3,0,0,NA,2,5,2,4,0,1,0.80254565
0,10,40,3,2,56,54,0,6,5,88,4,0,1,0.441253747
NA,50,50,3,3,26,28,1,1,5,3,4,0,1,0.783951277
0,4,8,2,2,68,59,0,6,5,96,4,0,1,0.808827312
0,51,59,3,2,60,31,0,7,5,66,4,0,0,0.878375502
0,100,90,4,4,100,100,1,3,5,0,4,0,0,0.7892061
0,98,96,4,4,75,86,1,3,5,1,4,0,1,0.862565331
1,1,3,1,1,69,88,0,7,5,84,3,0,1,1.056770223
1,6,4,1,2,40,30,0,7,5,76,4,0,1,0.808827312
0,3,2,2,1,50,55,0,6,5,75,4,0,1,0.808827312
0,90,90,4,4,77,89,1,4,5,3,4,0,1,0.707850111
0,92,76,3,3,65,77,1,2,3,NA,4,0,0,0.738988461
0,79,63,3,3,86,84,1,3,4,0,4,0,0,0.913946177
NA,3,3,1,1,67,53,0,4,5,100,3,1,0,0.834653595
NA,60,96,4,3,69,89,1,3,5,1,3,0,0,0.756263673
0,3,9,2,2,55,54,0,7,5,98,4,0,1,0.985613179
0,11,NA,2,NA,49,NA,0,7,5,86,4,0,0,0.969135818
0,31,50,2,2,81,86,0,7,2,100,3,0,0,0.918200701
0,51,71,3,3,31,22,1,4,5,0,3,0,1,0.889877439
0,95,90,4,4,70,80,1,2,4,0,4,0,0,0.803568893
0,10,12,2,2,-75,-70,1,5,4,100,4,0,1,0.808827312
0,85,NA,4,NA,27,NA,1,4,4,19,4,0,0,0.813321963
0,73,54,3,3,50,47,1,2,4,4,3,0,0,0.511623091
0,60,90,3,3,80,64,1,1,4,0,2,0,1,0.83118332
0,81,70,4,3,95,100,1,2,4,1,4,0,1,0.914362713
NA,40,30,2,2,1,9,0,5,5,60,4,0,1,0.808827312
0,30,10,2,1,49,45,0,6,5,90,3,0,0,0.947813419
NA,31,3,2,2,76,79,0,6,4,100,4,0,1,1.057211478
NA,80,81,4,4,68,49,1,4,5,2,3,0,1,0.850822173
0,100,85,4,3,10,0,1,3,5,10,4,0,1,0.900423073
0,68,70,3,3,89,89,1,2,5,0,4,0,1,0.707554671
0,4,16,2,1,84,75,0,7,5,99,4,0,0,0.969135818
NA,0,100,3,4,76,71,1,2,5,0,4,0,1,0.707850111
NA,20,4,2,2,68,68,0,4,4,85,4,0,1,1.003826157
0,5,7,2,2,89,87,0,6,3,98,4,0,0,1.219719034
0,100,81,4,3,90,92,1,1,5,0,4,0,1,0.891357824
NA,80,89,3,4,74,81,1,1,5,1,4,0,0,0.738988461
0,27,49,2,3,24,1,0,4,5,0,3,0,1,0.640948746
0,91,93,4,4,82,86,1,2,5,1,4,0,0,0.820735153
0,2,5,2,2,30,55,0,6,5,68,3,0,0,0.937815785
0,50,NA,3,NA,-10,NA,0,5,5,40,3,1,1,0.832472088
0,68,80,3,4,0,0,NA,5,5,36,3,0,1,0.561298287
0,90,95,4,4,97,66,1,2,5,0,4,0,1,0.862565331
0,70,41,3,3,0,0,NA,5,5,31,4,0,1,0.862565331
NA,7,28,2,2,69,92,0,7,3,75,3,0,1,1.028871455
0,21,10,2,2,74,64,0,7,3,95,3,0,1,1.044799631
0,81,73,4,3,0,0,NA,6,3,70,4,0,0,0.853810585
0,61,61,3,3,30,45,1,2,4,1,4,0,1,0.862565331
0,75,75,3,3,58,35,1,2,5,6,3,0,1,0.967667874
0,11,NA,2,NA,52,NA,0,6,3,86,2,0,1,0.518136182
0,15,10,1,1,65,60,0,6,4,85,3,0,0,0.907469147
0,5,1,2,2,77,59,0,6,5,100,4,1,0,0.767556125
