totalfakebinary18_pre,pol_therm_media,pol_therm_media_w2,massmedia_trust,mis_pro_r_false,mis_pro_d_false,proD_fake,proR_fake,vote_binary,vote_combined,polact_mean,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight,control_fake
0,35,50,2,1,2,1,0,1,4,1.799999952,3,0,0,NA,4,5,9,4,0,1,0.432635156,0
0,50,50,3,4,2,0,0,0,1,2.200000048,3,0,0,NA,1,3,50,1,1,0,3.386197116,1
NA,80,66,3,2,2,0,1,1,4,1.600000024,3,0,0,NA,4,1,70,3,0,0,1.408688254,0
NA,10,67,2,2,3,1,0,1,4,5,2,0,0,NA,4,4,14,2,1,0,0.856533328,0
0,31,69,3,3,2,0,0,0,1,3,2,0,0,NA,4,1,8,3,0,0,2.653011692,1
0,16,20,2,4,3,0,0,1,4,2,2,0,0,NA,2,5,35,3,0,1,0.417336706,1
0,18,3,2,1,2,1,0,0,2,1,2,0,0,NA,4,2,5,2,1,0,0.688703613,0
0,31,52,2,2,2,0,1,0,2,3,2,0,0,NA,4,4,97,4,0,1,0.475272763,0
NA,1,5,1,2,1,0,0,1,4,3.799999952,2,NA,0,NA,6,5,85,3,1,1,1.311483824,1
NA,62,52,2,4,2,0,0,1,3,3.799999952,2,0,0,NA,7,2,87,1,0,1,0.716041033,1
0,NA,NA,1,2,3,0,1,0,2,3,2,NA,NA,NA,2,1,NA,2,0,1,0.557950267,0
0,30,40,2,1,1,0,0,0,1,1.600000024,2,0,0,NA,4,4,100,2,1,1,0.759067705,1
NA,36,27,2,2,1,1,0,0,2,1.200000048,2,0,0,NA,3,2,15,3,0,1,0.320473171,0
1,40,35,2,3,1,0,0,1,4,3,2,0,0,NA,5,5,75,4,0,1,0.687283393,1
0,86,71,3,2,1,1,0,1,4,1.799999952,3,0,0,NA,3,5,0,3,0,0,0.585178522,0
NA,50,71,3,1,2,0,0,1,4,1,3,0,0,NA,4,2,0,2,0,1,0.327778981,1
NA,35,36,4,2,2,0,0,1,4,3.200000048,3,0,0,NA,2,1,0,2,0,0,0.539620129,1
0,16,31,2,1,1,0,1,1,4,1.399999976,2,0,0,NA,4,5,10,4,0,1,0.259406256,0
NA,59,NA,2,4,3,0,0,0,0,NA,NA,0,NA,NA,4,1,10,3,1,0,7.115609012,0
1,0,16,1,3,1,1,0,1,4,2,2,0,0,NA,7,3,0,4,0,0,0.843572737,0
0,6,6,1,2,2,1,0,1,4,2,3,0,0,NA,5,3,90,2,1,1,2.616480047,0
0,2,10,2,2,1,0,0,1,4,1,2,0,0,NA,6,5,31,3,0,0,2.63498534,1
0,32,51,2,1,4,0,0,0,2,1,2,0,NA,NA,4,2,3,2,1,0,0.914961694,1
0,0,1,1,4,1,0,1,1,4,2.599999905,1,0,0,NA,7,3,100,4,1,1,1.637786809,0
0,0,31,2,4,1,0,1,1,4,3.200000048,2,0,0,NA,6,5,90,4,0,0,3.319823725,0
0,43,51,2,1,4,1,0,1,3,2.599999905,2,0,0,NA,1,4,6,2,0,1,0.238231424,0
0,39,15,2,1,4,0,1,1,4,1.200000048,2,0,0,NA,4,3,0,3,1,1,0.769991904,0
0,85,82,3,1,1,0,1,1,4,1.600000024,3,0,0,NA,5,5,0,4,0,1,0.511127245,0
0,65,76,3,1,3,0,0,1,4,3.200000048,3,0,0,NA,3,3,0,2,0,1,0.666622436,1
0,80,86,3,2,3,0,1,1,4,3.599999905,3,0,0,NA,1,4,1,3,0,0,0.468476168,0
0,6,NA,1,4,3,0,0,0,0,NA,NA,0,NA,NA,3,2,0,2,1,0,2.72667326,0
0,0,0,1,2,3,0,1,1,4,3.400000095,1,0,0,NA,4,5,0,1,1,0,0.935055629,0
0,66,50,3,3,3,0,1,1,3,2.599999905,3,0,0,NA,4,1,5,3,0,0,0.340490853,0
NA,41,31,2,3,3,1,0,0,1,1,2,0,0,NA,4,3,31,2,1,0,0.500553275,0
0,11,25,3,3,2,0,0,1,4,1.799999952,2,0,0,NA,4,5,19,2,0,1,0.460832891,1
0,55,62,3,4,4,0,0,1,3,2.400000095,3,0,0,NA,4,4,2,1,0,0,2.269019677,1
1,18,9,1,4,1,0,1,1,4,2,1,0,0,NA,7,3,76,3,0,1,0.667086778,0
1,3,4,1,3,2,1,0,1,4,2.599999905,2,0,0,NA,3,5,45,4,1,1,7.115609012,0
0,75,39,3,3,1,1,0,1,4,3.5,3,0,0,NA,4,4,95,4,0,0,0.386353331,0
NA,75,71,3,1,1,1,0,1,4,4.800000191,4,0,0,NA,3,5,15,4,0,0,0.33565761,0
0,53,43,3,1,1,0,1,0,2,1,3,0,0,NA,4,4,25,4,0,0,0.38261172,0
0,46,45,2,3,2,1,0,0,2,1,2,0,0,NA,4,4,3,4,0,0,0.560607576,0
NA,49,8,1,1,4,1,0,0,1,1,3,0,0,NA,2,3,59,2,1,0,2.533988655,0
0,0,0,1,4,1,0,1,0,1,1,1,0,0,NA,4,4,100,2,0,1,0.696540931,0
0,1,6,1,1,1,0,1,1,4,1,1,0,0,NA,4,4,82,3,0,0,0.468476168,0
NA,NA,53,2,2,1,1,0,1,4,1.799999952,3,NA,0,NA,4,1,NA,1,1,0,0.704601842,0
0,3,0,2,1,3,0,1,1,4,1,2,0,0,NA,1,5,0,4,0,1,0.320878516,0
0,0,0,3,1,1,1,0,1,4,2.599999905,4,0,0,NA,4,3,0,2,1,1,0.505179609,0
0,31,50,2,1,1,1,0,1,3,2.799999952,2,0,0,NA,3,3,56,1,0,0,3.991950841,0
NA,NA,NA,1,1,3,0,1,0,1,3,3,NA,NA,NA,4,0,NA,1,0,0,1.969437601,0
0,78,61,3,1,3,0,1,0,1,1,3,0,0,NA,4,2,50,3,0,0,0.623170688,0
0,31,41,2,1,1,1,0,1,4,1,2,0,0,NA,4,1,55,2,0,1,0.349059723,0
0,48,59,2,1,1,0,0,0,1,NA,4,0,0,NA,4,2,11,2,1,0,0.62445654,1
0,61,33,3,3,3,0,0,0,1,1,3,NA,0,NA,4,2,31,2,1,1,0.440142599,1
NA,50,NA,3,3,2,0,0,0,0,NA,NA,0,NA,NA,5,1,63,2,0,0,0.519881011,0
NA,42,43,3,1,1,1,0,1,4,3.799999952,3,0,0,NA,4,3,4,2,0,0,0.344068026,0
0,31,20,2,1,3,0,1,1,4,2.599999905,2,0,0,NA,3,5,0,4,0,1,0.412426031,0
NA,NA,NA,1,3,3,1,0,0,1,NA,1,NA,NA,NA,4,2,NA,1,1,0,0.704601842,0
0,11,11,2,3,2,0,1,1,4,2.799999952,2,0,0,NA,4,5,54,4,0,0,0.883077975,0
NA,73,41,3,3,3,1,0,0,2,1,3,0,0,NA,4,2,75,2,0,0,0.574654459,0
NA,28,19,2,3,2,0,0,1,3,1.399999976,2,0,0,NA,4,4,26,2,0,1,0.38079812,1
0,0,NA,1,1,4,0,0,0,0,NA,NA,0,NA,NA,6,1,NA,1,1,0,7.115609012,0
0,0,1,1,4,1,0,1,0,1,4,1,0,0,NA,5,4,100,3,0,1,0.485002318,0
0,29,NA,2,4,2,1,0,0,2,1,2,NA,NA,NA,4,1,63,3,0,0,1.236013543,0
0,53,55,3,3,3,0,1,1,3,4,3,NA,0,NA,4,3,60,1,1,0,7.115609012,0
NA,10,19,2,4,2,0,0,0,1,2,2,0,0,NA,4,4,20,4,0,0,2.653011692,1
0,65,75,3,2,1,0,1,1,4,2.799999952,3,0,0,NA,4,3,0,2,1,1,0.251509887,0
0,75,NA,4,1,2,0,0,0,0,NA,NA,NA,NA,NA,1,2,6,2,1,1,0.426814094,0
0,25,25,3,2,2,0,1,1,4,4.800000191,4,0,0,NA,1,5,0,2,0,0,0.622531133,0
0,0,0,1,2,2,0,0,0,1,2.400000095,1,0,0,NA,1,5,0,2,1,1,0.368515498,1
1,5,NA,1,3,1,0,0,0,0,NA,NA,0,NA,NA,5,5,40,4,0,1,0.177043404,0
NA,38,10,2,1,1,0,1,0,1,1,2,0,0,NA,1,2,0,2,1,1,0.740195611,0
0,0,0,1,4,1,0,1,1,4,5,1,0,0,NA,7,3,100,2,1,1,0.80454493,0
0,9,37,2,3,4,1,0,1,4,2,1,0,0,NA,4,4,60,4,0,0,1.637842231,0
0,29,7,2,1,1,0,0,1,4,1,2,0,0,NA,4,5,1,4,0,0,0.25569664,1
NA,28,37,2,3,2,1,0,0,1,3.200000048,2,0,0,NA,1,5,22,1,0,0,2.269019677,0
0,2,31,2,1,1,0,1,0,2,1,3,0,0,NA,4,4,1,4,0,1,0.294134241,0
0,53,57,2,1,1,1,0,1,3,1.200000048,2,0,0,NA,4,5,26,2,0,0,0.622531133,0
0,19,50,2,3,1,0,1,1,4,3,3,0,0,NA,5,4,38,3,0,1,0.314441423,0
0,2,5,2,3,1,0,0,1,4,4,4,0,0,NA,4,2,83,2,0,0,1.294204091,1
