totalfakebinary18_pre,pol_therm_media,misinform_soros_w2,misinform_jamal_w2,pol_therm_media_w2,massmedia_trust,mis_pro_r_false,mis_pro_d_false,proD_fake,proR_fake,vote_binary_w2,vote_combined_w2,polact_mean,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight,control_fake
0,6,2,3,71,1,3,2,0,1,0,1,2.200000048,3,0,0,NA,4,0,4,2,1,0,4.032067742,0
0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.651594416,0
0,0,2,1,4,1,2,2,0,0,1,4,1,1,0,0,NA,4,4,56,4,0,1,0.835579269,1
0,92,1,2,91,4,2,1,1,0,1,4,2,4,0,0,NA,4,5,10,4,0,0,1.08031616,0
NA,8,NA,NA,NA,2,1,4,0,0,0,0,1,NA,0,NA,NA,3,2,3,1,1,0,0.916392137,0
0,9,NA,NA,NA,1,1,3,0,0,0,0,1,NA,NA,NA,NA,4,2,2,1,0,0,1.304363116,0
NA,0,1,1,7,2,1,1,0,1,0,1,1,2,0,0,NA,4,2,69,3,0,0,0.575094279,0
0,NA,1,1,NA,1,1,1,1,0,0,1,3,1,NA,NA,NA,NA,0,NA,3,0,0,0.575094279,0
NA,52,2,2,73,3,1,4,0,0,0,2,1,3,0,0,NA,4,3,3,3,1,1,0.776543062,1
0,31,4,2,42,2,4,2,0,1,1,5,3,2,0,0,NA,5,5,43,4,0,0,0.269343991,0
0,30,1,1,6,1,3,NA,1,0,1,5,3.200000048,2,0,0,NA,4,4,1,2,0,0,0.963423255,0
0,39,3,3,34,2,2,3,1,0,0,2,1,2,0,0,NA,4,1,16,2,0,1,0.46852565,0
0,4,4,1,4,1,3,1,0,0,1,5,1.600000024,1,0,0,NA,6,5,59,4,0,0,0.494744459,1
0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.92273843,0
0,31,4,1,31,2,4,1,0,1,1,4,3.799999952,2,0,0,NA,7,3,100,3,0,0,0.753956286,0
NA,52,2,1,72,3,3,3,0,0,0,1,3,3,NA,0,NA,4,1,NA,3,1,0,2.056168531,1
NA,32,NA,NA,NA,3,2,2,0,0,0,0,2.75,NA,0,NA,NA,4,4,14,2,0,1,1.104421064,0
NA,2,3,1,0,2,4,1,0,0,1,4,3.799999952,1,0,0,NA,4,5,100,3,1,1,1.875271597,1
0,2,2,1,10,2,2,2,1,0,1,4,1,2,0,0,NA,4,3,71,4,0,0,0.642816405,0
NA,50,2,2,NA,2,1,3,1,0,0,1,1,2,0,NA,NA,7,1,50,3,0,0,0.68793115,0
0,90,NA,NA,NA,3,4,1,0,0,0,0,2.200000048,NA,0,NA,NA,4,1,7,4,0,0,0.808769669,0
0,10,3,1,20,2,4,1,0,0,1,4,5,1,0,0,NA,7,3,93,4,0,0,0.412098843,1
0,50,NA,NA,NA,3,2,3,0,0,0,0,1,NA,NA,NA,NA,7,0,NA,3,0,0,1.104299032,0
0,12,4,1,2,1,4,1,0,0,1,5,4.599999905,1,0,0,NA,6,5,88,3,0,0,0.580283409,1
1,0,3,1,0,1,4,1,1,0,1,4,4.75,1,0,0,NA,6,4,100,4,0,0,0.633906139,0
0,11,1,1,6,2,2,1,0,1,0,1,1,1,0,NA,NA,7,1,78,3,0,0,0.68793115,0
0,54,NA,NA,NA,3,4,4,0,0,0,0,1,NA,NA,NA,NA,4,1,91,2,0,0,0.963423255,0
NA,90,2,1,80,4,3,3,0,1,1,5,1,4,0,0,NA,3,5,34,4,0,1,0.3578056,0
0,9,1,1,13,1,3,1,0,0,1,5,2.599999905,1,0,0,NA,4,2,99,4,0,0,0.753956286,1
0,20,3,3,20,1,1,2,1,0,1,5,1.399999976,2,0,0,NA,2,2,6,3,0,0,0.661795901,0
0,6,3,1,29,2,4,2,0,0,1,4,2.200000048,1,0,0,NA,4,4,87,3,0,0,0.753956286,1
1,0,4,1,0,1,4,1,0,1,1,4,2.799999952,1,0,0,NA,4,5,96,3,1,0,0.765627316,0
